Frame,Nose,EyeLeft,EyeRight,EarLeft,EarRight,ShoulderLeft,ShoulderRight,ElbowLeft,ElbowRight,WristLeft,WristRight,HipLeft,HipRight,KneeLeft,KneeRight,AnkleLeft,AnkleRight,ToesLeft,ToesRight,Spine,Spine1,Spine2,Spine3,LeftIndexFinger,ThumbLeft,PinkyLeft,RightIndexFinger,ThumbRight,PinkyRight,BigToeLeft,SmallToeLeft,BigToeRight,SmallToeRight,PlayerPosition,Nose_x,Nose_y,Nose_z,EyeLeft_x,EyeLeft_y,EyeLeft_z,EyeRight_x,EyeRight_y,EyeRight_z,EarLeft_x,EarLeft_y,EarLeft_z,EarRight_x,EarRight_y,EarRight_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,WristLeft_x,WristLeft_y,WristLeft_z,WristRight_x,WristRight_y,WristRight_z,HipLeft_x,HipLeft_y,HipLeft_z,HipRight_x,HipRight_y,HipRight_z,KneeLeft_x,KneeLeft_y,KneeLeft_z,KneeRight_x,KneeRight_y,KneeRight_z,AnkleLeft_x,AnkleLeft_y,AnkleLeft_z,AnkleRight_x,AnkleRight_y,AnkleRight_z,ToesLeft_x,ToesLeft_y,ToesLeft_z,ToesRight_x,ToesRight_y,ToesRight_z,Spine_x,Spine_y,Spine_z,Spine1_x,Spine1_y,Spine1_z,Spine2_x,Spine2_y,Spine2_z,Spine3_x,Spine3_y,Spine3_z,LeftIndexFinger_x,LeftIndexFinger_y,LeftIndexFinger_z,ThumbLeft_x,ThumbLeft_y,ThumbLeft_z,PinkyLeft_x,PinkyLeft_y,PinkyLeft_z,RightIndexFinger_x,RightIndexFinger_y,RightIndexFinger_z,ThumbRight_x,ThumbRight_y,ThumbRight_z,PinkyRight_x,PinkyRight_y,PinkyRight_z,BigToeLeft_x,BigToeLeft_y,BigToeLeft_z,SmallToeLeft_x,SmallToeLeft_y,SmallToeLeft_z,BigToeRight_x,BigToeRight_y,BigToeRight_z,SmallToeRight_x,SmallToeRight_y,SmallToeRight_z
0,-0.05462021;1.676332;0.1707675,-0.03864063;1.707688;0.1244532,-0.00485119;1.706267;0.1740139,0.01077971;1.685692;0.03564993,0.09525322;1.682138;0.1595514,-0.1243685;1.514576;0.03072307,0.2411201;1.501652;0.04910137,-0.1794551;1.176646;0.03022376,0.2973887;1.165662;0.06728202,-0.1989562;0.9608784;0.1534539,0.2509156;0.9488546;0.1811103,-0.06727687;0.9468617;0.004887732,0.1001738;0.9345056;-0.02091682,-0.2031119;0.5067024;-0.02205132,0.172224;0.4798828;-0.05322076,-0.3238382;0.1586288;-0.1441941,0.1334582;0.1490047;-0.2523839,-0.3174995;0.01561958;0.02178461,0.2271573;0.01668262;-0.1178245,0.02675485;1.060467;0.001510686,0.03368222;1.165;-0.002500347,0.04149268;1.281797;-0.003580179,0.05043927;1.404408;0.01509119,-0.1332041;0.8523015;0.2423562,-0.2043287;0.885447;0.237713,-0.2155449;0.8614785;0.1666008,0.1271971;0.8896577;0.2532633,0.2051169;0.8817533;0.2599685,0.2127507;0.8550248;0.1893668,-0.2823775;0.02772588;-0.01201203,-0.3644198;0.03104043;-0.02399444,0.1782926;0.02264833;-0.1277725,0.240107;0.03428406;-0.1815228,0.01644853;0;-0.008014515,-0.07106874,1.676332,0.178782015,-0.05508916,1.707688,0.13246771499999999,-0.02129972,1.706267,0.182028415,-0.00566882,1.685692,0.043664445,0.07880469,1.682138,0.167565915,-0.14081703,1.514576,0.038737585000000005,0.22467157000000001,1.501652,0.057115885,-0.19590363,1.176646,0.038238275,0.28094017,1.165662,0.075296535,-0.21540473,0.9608784,0.161468415,0.23446707000000003,0.9488546,0.189124815,-0.0837254,0.9468617,0.012902246999999999,0.08372526999999999,0.9345056,-0.012902305,-0.21956043,0.5067024,-0.014036805,0.15577547,0.4798828,-0.045206245,-0.34028673000000004,0.1586288,-0.136179585,0.11700967,0.1490047,-0.244369385,-0.33394803,0.01561958,0.029799125,0.21070877000000002,0.01668262,-0.109809985,0.01030632,1.060467,0.009525201,0.01723369,1.165,0.005514168,0.025044149999999998,1.281797,0.004434336,0.033990740000000005,1.404408,0.023105705,-0.14965262999999998,0.8523015,0.25037071499999997,-0.22077723,0.885447,0.245727515,-0.23199343,0.8614785,0.174615315,0.11074857,0.8896577,0.261277815,0.18866837,0.8817533,0.267983015,0.19630217,0.8550248,0.197381315,-0.29882603,0.02772588,-0.003997515,-0.38086833000000003,0.03104043,-0.015979925,0.16184407,0.02264833,-0.11975798500000001,0.22365847,0.03428406,-0.173508285
1,-0.03116806;1.680823;0.1724855,-0.01515155;1.712208;0.1262027,0.01877277;1.710479;0.1756613,0.03389109;1.690164;0.03720205,0.1187018;1.685841;0.1608485,-0.1025618;1.516123;0.03386297,0.2634775;1.50651;0.0501245,-0.148302;1.17658;0.03628835,0.321779;1.170442;0.06261228,-0.166387;0.9608334;0.1597718,0.2717906;0.9535698;0.174817,-0.04746392;0.9517316;0.006747018,0.1198407;0.9379494;-0.01928185,-0.1906744;0.5137457;-0.01725505,0.179187;0.480995;-0.04351753,-0.317448;0.166808;-0.1364681,0.1384263;0.1539473;-0.2485233,-0.3184091;0.009520292;0.01668127,0.2289342;0.01835418;-0.1179717,0.04754644;1.06452;0.003370004,0.05523151;1.169001;-0.0005910133,0.06357296;1.285761;-0.001738143,0.07275929;1.408387;0.01671889,-0.0989729;0.849452;0.2438277,-0.1694963;0.8841608;0.2430181,-0.1845134;0.861603;0.1721458,0.1459431;0.8940833;0.242937,0.2236241;0.8861715;0.2519931,0.233422;0.8597022;0.1815611,-0.2827689;0.02268863;-0.01616235,-0.3645367;0.03155917;-0.02715422,0.1801713;0.02492058;-0.1280409,0.2422982;0.03634757;-0.1814746,0.03618842;0;-0.006267392,-0.06735648,1.680823,0.17875289200000002,-0.05133997,1.712208,0.132470092,-0.017415649999999998,1.710479,0.181928692,-0.00229733,1.690164,0.043469442,0.08251338,1.685841,0.16711589200000002,-0.13875021999999998,1.516123,0.040130362,0.22728907999999998,1.50651,0.056391892,-0.18449042,1.17658,0.042555741999999994,0.28559058,1.170442,0.068879672,-0.20257542,0.9608334,0.166039192,0.23560218,0.9535698,0.181084392,-0.08365233999999999,0.9517316,0.01301441,0.08365228,0.9379494,-0.013014458,-0.22686282,0.5137457,-0.010987658,0.14299858000000001,0.480995,-0.037250138,-0.35363642,0.166808,-0.130200708,0.10223788,0.1539473,-0.242255908,-0.35459752,0.009520292,0.022948662,0.19274578,0.01835418,-0.111704308,0.011358020000000003,1.06452,0.009637396,0.01904309,1.169001,0.0056763787,0.02738454,1.285761,0.004529249,0.036570870000000005,1.408387,0.022986282,-0.13516132,0.849452,0.250095092,-0.20568472,0.8841608,0.249285492,-0.22070182,0.861603,0.178413192,0.10975468,0.8940833,0.249204392,0.18743568,0.8861715,0.258260492,0.19723358,0.8597022,0.187828492,-0.31895732,0.02268863,-0.009894957999999999,-0.40072512,0.03155917,-0.020886828,0.14398288,0.02492058,-0.12177350800000002,0.20610978,0.03634757,-0.175207208
2,-0.006687764;1.689955;0.184421,0.009239387;1.721251;0.1380469,0.04347205;1.719272;0.1872832,0.05755213;1.698914;0.04872074,0.1431338;1.693965;0.1718113,-0.08109817;1.522039;0.04871501,0.2852652;1.51788;0.06134795,-0.1128148;1.180444;0.04887411,0.3380006;1.179502;0.05876328,-0.1231529;0.9641496;0.1722911,0.2847162;0.9602547;0.1646566,-0.02860965;0.9617475;0.006171216,0.1386635;0.9476621;-0.01989797,-0.1779122;0.5254929;-0.01137249,0.1865007;0.4887241;-0.01786658,-0.3088549;0.1780781;-0.1245356,0.1491519;0.1684719;-0.2339514,-0.3243937;0.02821344;0.01647257,0.231264;0.02556008;-0.1145969,0.06710824;1.073987;0.006209359,0.0754008;1.178489;0.004906079,0.08433258;1.295206;0.005963045,0.09431235;1.417535;0.02591721,-0.05310375;0.8493183;0.2492507,-0.1231686;0.8847545;0.2530051,-0.1418383;0.8647497;0.1822344,0.1575031;0.8972973;0.2268639,0.2349302;0.8903787;0.2385309,0.2476589;0.8656775;0.1679256,-0.2881983;0.03587431;-0.01749104,-0.369269;0.04917985;-0.02915254,0.1827776;0.03362685;-0.1249082,0.2456253;0.04444933;-0.1776201,0.05502694;0;-0.006863347,-0.061714704,1.689955,0.191284347,-0.045787553,1.721251,0.144910247,-0.011554890000000005,1.719272,0.194146547,0.0025251899999999966,1.698914,0.055584087,0.08810686000000001,1.693965,0.178674647,-0.13612511,1.522039,0.055578357,0.23023826,1.51788,0.068211297,-0.16784174000000002,1.180444,0.055737457,0.28297365999999996,1.179502,0.065626627,-0.17817984,0.9641496,0.179154447,0.22968925999999998,0.9602547,0.17151994699999998,-0.08363659000000001,0.9617475,0.013034562999999999,0.08363656,0.9476621,-0.013034623000000002,-0.23293914,0.5254929,-0.004509143000000001,0.13147376,0.4887241,-0.011003233000000001,-0.36388184,0.1780781,-0.11767225299999999,0.09412496000000001,0.1684719,-0.227088053,-0.37942064000000003,0.02821344,0.023335916999999998,0.17623706,0.02556008,-0.107733553,0.012081299999999996,1.073987,0.013072706,0.02037386,1.178489,0.011769426,0.02930564,1.295206,0.012826391999999999,0.03928541,1.417535,0.032780557,-0.10813069,0.8493183,0.256114047,-0.17819554,0.8847545,0.259868447,-0.19686524,0.8647497,0.18909774699999998,0.10247616000000001,0.8972973,0.233727247,0.17990326,0.8903787,0.24539424699999998,0.19263196,0.8656775,0.174788947,-0.34322524000000004,0.03587431,-0.010627693,-0.42429594000000004,0.04917985,-0.022289193000000002,0.12775066000000002,0.03362685,-0.11804485299999999,0.19059836,0.04444933,-0.170756753
3,0.02624986;1.70061;0.212196,0.04222409;1.731448;0.1655325,0.07678358;1.729324;0.2145338,0.08961564;1.70802;0.07599243,0.1760145;1.702711;0.1984957,-0.05120641;1.527167;0.0818423,0.3153608;1.53115;0.08675454,-0.07373732;1.184912;0.07594853,0.3675509;1.192944;0.05740241,-0.06436914;0.9691057;0.2002935,0.3050935;0.9715144;0.1532693,-0.001171768;0.973919;0.009269655,0.1656835;0.9601716;-0.01951621,-0.1577275;0.5398926;0.00393562,0.2122246;0.5015103;-1.325458E-05,-0.2986557;0.1990931;-0.1170762,0.1642792;0.1812975;-0.2140555,-0.3425624;0.03301638;0.004262634,0.235994;0.03045106;-0.1123853,0.09562209;1.085028;0.01600966,0.1047291;1.189353;0.02093423,0.1142486;1.305874;0.02694844,0.1247163;1.42762;0.04997908,0.01468641;0.8529487;0.2656669,-0.05514951;0.8869737;0.2776734,-0.08053517;0.8691024;0.2084388,0.1735041;0.9080992;0.2050312,0.2498377;0.9008342;0.2223329,0.2677428;0.8769989;0.152558,-0.3024548;0.04148352;-0.02475474,-0.3801815;0.06540185;-0.0412458,0.1877463;0.04205918;-0.1201137,0.2484045;0.04882061;-0.1759738,0.0822559;0;-0.005123238,-0.05600604000000001,1.70061,0.217319238,-0.04003181000000001,1.731448,0.170655738,-0.005472320000000003,1.729324,0.219657038,0.00735973999999999,1.70802,0.081115668,0.09375859999999998,1.702711,0.203618938,-0.13346231,1.527167,0.08696553800000001,0.2331049,1.53115,0.09187777800000001,-0.15599322,1.184912,0.081071768,0.285295,1.192944,0.062525648,-0.14662504,0.9691057,0.20541673800000002,0.22283760000000002,0.9715144,0.158392538,-0.08342766800000001,0.973919,0.014392893,0.0834276,0.9601716,-0.014392972,-0.2399834,0.5398926,0.009058858,0.1299687,0.5015103,0.005109983419999999,-0.3809116,0.1990931,-0.111952962,0.08202329999999998,0.1812975,-0.208932262,-0.4248183,0.03301638,0.009385872,0.1537381,0.03045106,-0.10726206199999999,0.01336619,1.085028,0.021132897999999997,0.0224732,1.189353,0.026057468,0.0319927,1.305874,0.032071678,0.042460399999999995,1.42762,0.055102318000000004,-0.06756949000000001,0.8529487,0.27079013799999996,-0.13740541,0.8869737,0.282796638,-0.16279107,0.8691024,0.213562038,0.09124819999999999,0.9080992,0.210154438,0.1675818,0.9008342,0.227456138,0.1854869,0.8769989,0.157681238,-0.3847107,0.04148352,-0.019631502000000002,-0.4624374,0.06540185,-0.036122562,0.1054904,0.04205918,-0.114990462,0.16614859999999998,0.04882061,-0.170850562
4,0.04917859;1.709914;0.23485,0.06495342;1.74022;0.1877719,0.09983889;1.738449;0.2365558,0.1116393;1.715709;0.09815098,0.1988531;1.711283;0.2201107,-0.02862086;1.534521;0.1117008,0.3372146;1.544195;0.1059347,-0.04870965;1.192139;0.101145,0.3986202;1.208928;0.06283358,-0.02328042;0.9789972;0.2278175,0.3267018;0.9892251;0.1560026,0.01988678;0.9855869;0.01520359,0.1863003;0.9712924;-0.01578838,-0.1366046;0.5517317;0.001163086,0.2353652;0.5125367;-0.008536967,-0.2769794;0.2186257;-0.1402028,0.1715391;0.1859833;-0.2083823,-0.3241785;0.0329836;-0.03277922,0.2390046;0.02942246;-0.1138369,0.1179872;1.095238;0.02581046,0.127928;1.199222;0.03473027,0.137542;1.315505;0.04420698,0.1475033;1.43679;0.06975661,0.0663159;0.8680031;0.2883873,-0.004022144;0.8987409;0.3053181,-0.03370617;0.8784703;0.2384958,0.189661;0.9288349;0.1958699,0.2639779;0.9199097;0.2198757,0.2874684;0.89556;0.1519598,-0.282752;0.04644179;-0.0577804,-0.3597428;0.07305998;-0.07357249,0.1916304;0.04598677;-0.1157442,0.2450953;0.04574478;-0.1788864,0.1030936;0;-0.0002923352,-0.05391500999999999,1.709914,0.2351423352,-0.038140179999999996,1.74022,0.18806423519999999,-0.003254709999999994,1.738449,0.2368481352,0.008545700000000003,1.715709,0.09844331519999999,0.09575950000000001,1.711283,0.22040303519999999,-0.13171446,1.534521,0.1119931352,0.23412099999999997,1.544195,0.1062270352,-0.15180325,1.192139,0.10143733519999999,0.2955266,1.208928,0.0631259152,-0.12637402,0.9789972,0.2281098352,0.22360819999999998,0.9892251,0.15629493519999998,-0.08320681999999999,0.9855869,0.0154959252,0.08320670000000001,0.9712924,-0.0154960448,-0.23969819999999997,0.5517317,0.0014554212,0.1322716,0.5125367,-0.008244631799999999,-0.380073,0.2186257,-0.1399104648,0.0684455,0.1859833,-0.2080899648,-0.4272721,0.0329836,-0.0324868848,0.135911,0.02942246,-0.11354456480000001,0.014893600000000007,1.095238,0.0261027952,0.024834399999999993,1.199222,0.0350226052,0.034448400000000004,1.315505,0.0444993152,0.04440970000000001,1.43679,0.07004894519999999,-0.036777699999999997,0.8680031,0.2886796352,-0.107115744,0.8987409,0.3056104352,-0.13679977,0.8784703,0.2387881352,0.0865674,0.9288349,0.1961622352,0.16088429999999998,0.9199097,0.2201680352,0.1843748,0.89556,0.1522521352,-0.3858456,0.04644179,-0.0574880648,-0.4628364,0.07305998,-0.07328015480000001,0.08853680000000001,0.04598677,-0.11545186480000001,0.1420017,0.04574478,-0.1785940648
5,0.07477432;1.71487;0.2501608,0.0899731;1.744543;0.202494,0.1254612;1.743401;0.2508601,0.1355342;1.718827;0.1126322,0.2242546;1.715971;0.2335475,-0.003764592;1.537013;0.1382302,0.3603372;1.552815;0.1116802,-0.02515004;1.195249;0.1371315,0.4268007;1.218878;0.06555869,0.0183284;0.9875299;0.2678382,0.3503645;1.003017;0.163965,0.03816479;0.9930105;0.02934761,0.2023221;0.9766179;-0.01117331,-0.111924;0.5567414;0.02161927,0.2537868;0.5181865;-0.0007524993,-0.2389495;0.2400423;-0.163354,0.1638736;0.1918768;-0.1907171,-0.2623659;0.04529059;-0.0629653,0.2403824;0.03256643;-0.1101594,0.1381298;1.101367;0.03439857,0.1495219;1.205205;0.04328161,0.1598197;1.32134;0.0537876,0.170319;1.442131;0.08137972,0.1172018;0.8841288;0.3274045,0.04608114;0.9113628;0.3468742,0.01441061;0.887021;0.2823631,0.2115932;0.9433407;0.1985739,0.2846949;0.934985;0.2262372,0.3113607;0.9092519;0.1600253,-0.2256453;0.06242603;-0.09263534,-0.3050563;0.08638382;-0.09496398,0.1936392;0.05012071;-0.1047525,0.2370556;0.04976821;-0.1751825,0.1202435;0;0.009087199,-0.04546918,1.71487,0.24107360100000003,-0.030270400000000003,1.744543,0.19340680100000002,0.005217699999999992,1.743401,0.24177290099999998,0.01529069999999999,1.718827,0.103545001,0.1040111,1.715971,0.224460301,-0.124008092,1.537013,0.129143001,0.24009370000000002,1.552815,0.10259300099999999,-0.14539354,1.195249,0.128044301,0.3065572,1.218878,0.056471491,-0.10191510000000001,0.9875299,0.25875100100000004,0.23012100000000002,1.003017,0.154877801,-0.08207871,0.9930105,0.020260411,0.0820786,0.9766179,-0.020260509000000003,-0.2321675,0.5567414,0.012532070999999999,0.13354329999999998,0.5181865,-0.009839698300000001,-0.359193,0.2400423,-0.172441199,0.043630100000000005,0.1918768,-0.199804299,-0.3826094,0.04529059,-0.072052499,0.12013889999999999,0.03256643,-0.11924659900000001,0.017886299999999994,1.101367,0.025311371000000003,0.02927840000000001,1.205205,0.034194410999999994,0.039576200000000006,1.32134,0.044700401,0.050075499999999995,1.442131,0.072292521,-0.0030417000000000083,0.8841288,0.318317301,-0.07416236000000001,0.9113628,0.33778700100000003,-0.10583289,0.887021,0.273275901,0.0913497,0.9433407,0.189486701,0.16445139999999997,0.934985,0.217150001,0.1911172,0.9092519,0.15093810100000002,-0.3458888,0.06242603,-0.101722539,-0.4252998,0.08638382,-0.10405117900000001,0.07339570000000001,0.05012071,-0.113839699,0.1168121,0.04976821,-0.18426969899999998
6,0.1106006;1.712654;0.2642868,0.1253108;1.741881;0.2161931,0.1614526;1.740896;0.2640763,0.1694881;1.715232;0.1259134,0.2598426;1.71277;0.2456213,0.02791233;1.534953;0.1631041,0.3898002;1.546123;0.1103934,0.01067013;1.196199;0.1975548,0.4617144;1.213065;0.07837307,0.0754671;1.001567;0.3391234,0.3929735;0.9993093;0.1865654,0.05983622;0.9899274;0.06242164,0.2193361;0.9730856;0.006435551,-0.06888974;0.547814;0.09212845,0.2780416;0.5157365;0.023817,-0.1849827;0.2581564;-0.1386742,0.1599899;0.2250659;-0.2047076,-0.1827308;0.05065447;-0.06351033,0.247425;0.05253983;-0.1669601,0.1585651;1.099132;0.05311475,0.170075;1.203239;0.05761299,0.181572;1.319457;0.06568019,0.1957844;1.43992;0.09304483,0.185308;0.9091316;0.3974892,0.1142885;0.9334533;0.4208041,0.07933967;0.9024055;0.361039,0.2586414;0.937841;0.2333963,0.3336841;0.9325581;0.2561913,0.3564178;0.9045247;0.1894485,-0.1515836;0.07422113;-0.09508234,-0.231745;0.09227467;-0.08352003,0.2007573;0.06668228;-0.1549421,0.2399699;0.0851118;-0.2254277,0.1395862;0;0.03442863,-0.0289856,1.712654,0.22985816999999997,-0.014275399999999994,1.741881,0.18176447,0.021866400000000008,1.740896,0.22964766999999997,0.02990190000000001,1.715232,0.09148477,0.12025639999999999,1.71277,0.21119266999999997,-0.11167387,1.534953,0.12867547000000001,0.250214,1.546123,0.07596477,-0.12891607,1.196199,0.16312617000000001,0.32212820000000003,1.213065,0.04394444,-0.0641191,1.001567,0.30469477,0.2533873,0.9993093,0.15213676999999998,-0.07974998,0.9899274,0.02799301,0.07974990000000001,0.9730856,-0.027993079,-0.20847594,0.547814,0.05769982,0.1384554,0.5157365,-0.01061163,-0.3245689,0.2581564,-0.17310282999999999,0.020403699999999997,0.2250659,-0.23913623,-0.32231699999999996,0.05065447,-0.09793896,0.10783880000000001,0.05253983,-0.20138873000000002,0.018978899999999993,1.099132,0.01868612,0.03048880000000001,1.203239,0.02318436,0.04198580000000002,1.319457,0.03125156,0.056198200000000004,1.43992,0.05861619999999999,0.04572180000000001,0.9091316,0.36306056999999997,-0.025297699999999992,0.9334533,0.38637547,-0.06024652999999999,0.9024055,0.32661037,0.11905520000000003,0.937841,0.19896766999999999,0.1940979,0.9325581,0.22176267,0.2168316,0.9045247,0.15501987,-0.29116980000000003,0.07422113,-0.12951097,-0.3713312,0.09227467,-0.11794866,0.061171100000000006,0.06668228,-0.18937073,0.10038370000000002,0.0851118,-0.25985633
7,0.1357502;1.701945;0.2772523,0.1505489;1.73107;0.2291236,0.187119;1.729231;0.2766551,0.1933588;1.703933;0.1383319,0.2847841;1.699335;0.2571607,0.04704514;1.527164;0.1774483,0.4086628;1.526124;0.1183747,0.03009145;1.193812;0.2417656,0.4834805;1.194121;0.1001068,0.1036856;1.016015;0.400176,0.426504;0.9794524;0.2132134,0.07210673;0.9761911;0.09351416,0.2294313;0.9589717;0.03178273,-0.03975694;0.533065;0.1570982,0.2908449;0.5016954;0.03837416,-0.1493518;0.2615049;-0.09764299,0.1609389;0.2594375;-0.2356415,-0.1511495;0.05359685;-0.02344596,0.2276926;0.06675565;-0.2363967,0.1694462;1.08583;0.07726467,0.1808456;1.190038;0.07855966,0.1937107;1.306286;0.08353599,0.211326;1.426895;0.1081379,0.219101;0.931979;0.4604514,0.1490732;0.9572698;0.4856585,0.1112944;0.9196824;0.4316476,0.3025444;0.9107912;0.2759527,0.3795988;0.9123489;0.2914165,0.3980229;0.8825071;0.2241313,-0.1190877;0.07692945;-0.05426726,-0.1992313;0.0959335;-0.04420085,0.1828942;0.08431423;-0.2220054,0.2287363;0.1144259;-0.2839511,0.1507691;0;0.06264848,-0.015018900000000002,1.701945,0.21460382,-0.00022019999999997597,1.73107,0.16647512,0.03634990000000002,1.729231,0.21400661999999998,0.04258970000000001,1.703933,0.07568342,0.134015,1.699335,0.19451222,-0.10372395999999999,1.527164,0.11479982,0.2578937,1.526124,0.05572621999999999,-0.12067765,1.193812,0.17911712,0.3327114,1.194121,0.03745831999999999,-0.047083499999999986,1.016015,0.33752751999999997,0.2757349,0.9794524,0.15056492,-0.07866237,0.9761911,0.030865679999999993,0.07866220000000002,0.9589717,-0.030865750000000004,-0.19052603999999998,0.533065,0.09444971999999999,0.14007580000000003,0.5016954,-0.02427432000000001,-0.3001209,0.2615049,-0.16029147,0.010169800000000007,0.2594375,-0.29828998,-0.3019186,0.05359685,-0.08609444000000001,0.0769235,0.06675565,-0.29904518,0.018677100000000002,1.08583,0.014616189999999987,0.030076500000000006,1.190038,0.015911179999999997,0.042941600000000024,1.306286,0.020887509999999998,0.060556900000000025,1.426895,0.04548941999999999,0.0683319,0.931979,0.39780292,-0.0016959000000000002,0.9572698,0.42301002,-0.03947469999999999,0.9196824,0.36899912,0.1517753,0.9107912,0.21330422,0.22882970000000002,0.9123489,0.22876802000000002,0.24725380000000002,0.8825071,0.16148282,-0.2698568,0.07692945,-0.11691574,-0.3500004,0.0959335,-0.10684933,0.03212510000000002,0.08431423,-0.28465388,0.07796720000000001,0.1144259,-0.34659958
8,0.1735786;1.681387;0.2954106,0.1888333;1.709941;0.2470823,0.2257361;1.707117;0.2943075,0.2300334;1.681315;0.1560033,0.3222902;1.674256;0.2740662,0.07642107;1.514462;0.1920342,0.4380203;1.493993;0.1382263,0.05140597;1.186836;0.2772408,0.5043687;1.160626;0.142838,0.136031;1.04484;0.463782,0.4539486;0.9521364;0.2697712,0.0845072;0.9553401;0.1142231,0.2428432;0.9368551;0.05551783,-0.006858557;0.5170193;0.2257775,0.2860543;0.478862;0.01957698,-0.0952675;0.2571757;-0.04865678,0.1595266;0.272;-0.2834871,-0.120945;0.05421245;0.03413282,0.223894;0.09408772;-0.301191,0.1827118;1.06435;0.09898064,0.1956619;1.168383;0.09958268,0.2124749;1.284166;0.1035178,0.2361654;1.403965;0.1269516,0.2575579;0.9788316;0.5337106,0.1869091;1.004612;0.5565799,0.14989;0.9561509;0.5114319,0.3373824;0.8786051;0.3406378,0.4145357;0.886686;0.353327,0.4331059;0.854224;0.287307,-0.0838353;0.07365811;0.006436966,-0.1630243;0.09843862;0.005699955,0.1765242;0.1084097;-0.2926295,0.2289213;0.1445774;-0.3454683,0.1636752;0;0.08487051,0.009903400000000007,1.681387,0.21054009,0.025158100000000017,1.709941,0.16221179000000002,0.0620609,1.707117,0.20943699,0.0663582,1.681315,0.07113279000000002,0.15861500000000003,1.674256,0.18919568999999997,-0.08725413,1.514462,0.10716368999999999,0.2743451,1.493993,0.05335579,-0.11226923,1.186836,0.19237029,0.3406935,1.160626,0.057967489999999997,-0.02764419999999998,1.04484,0.37891149,0.2902734,0.9521364,0.18490068999999998,-0.07916799999999999,0.9553401,0.029352589999999998,0.07916800000000002,0.9368551,-0.02935268,-0.17053375699999998,0.5170193,0.14090699,0.12237909999999999,0.478862,-0.06529352999999999,-0.25894269999999997,0.2571757,-0.13352729,-0.004148600000000002,0.272,-0.36835761,-0.2846202,0.05421245,-0.050737689999999995,0.06021880000000002,0.09408772,-0.38606151,0.019036600000000015,1.06435,0.014110129999999999,0.03198670000000001,1.168383,0.01471217000000001,0.0487997,1.284166,0.018647289999999997,0.0724902,1.403965,0.04208109,0.09388270000000001,0.9788316,0.44884009,0.023233900000000002,1.004612,0.47170939,-0.013785199999999997,0.9561509,0.42656139000000004,0.17370720000000003,0.8786051,0.25576729,0.25086050000000004,0.886686,0.26845649,0.2694307,0.854224,0.20243648999999997,-0.2475105,0.07365811,-0.078433544,-0.32669950000000003,0.09843862,-0.079170555,0.012849,0.1084097,-0.37750001,0.0652461,0.1445774,-0.43033881
9,0.2073544;1.653205;0.3153833,0.2226153;1.680707;0.2664508,0.2599464;1.677975;0.3133436,0.2623606;1.6499;0.1754371,0.3556883;1.643071;0.2926689,0.1071718;1.492382;0.20874,0.4681144;1.457368;0.1613145,0.06134072;1.170352;0.3028264,0.5255885;1.123534;0.1805514,0.1510579;1.066038;0.5106513,0.4617929;0.9335041;0.3286762,0.1007002;0.9293954;0.1219943,0.2592533;0.908536;0.06468762,0.02432896;0.5074232;0.2923583,0.286542;0.4538918;-0.009276181,-0.03781687;0.254703;0.004401103,0.177023;0.2582252;-0.3260871,-0.06611325;0.05103528;0.08438774,0.2450005;0.107893;-0.3137314,0.2018629;1.036211;0.1112182,0.2175258;1.139815;0.1146768,0.2374593;1.255001;0.1209015,0.2641091;1.373859;0.1458941,0.2742074;1.02232;0.5939511,0.2005492;1.044465;0.6101677,0.1701383;0.9867944;0.5713536,0.3417978;0.8726941;0.4056169,0.4193823;0.877339;0.4173639,0.4355619;0.8386702;0.3541166,-0.02736516;0.071226;0.05962369,-0.1066971;0.09462398;0.05295528,0.1956656;0.1166583;-0.3171307,0.2534706;0.1465043;-0.3682509,0.1799768;0;0.09334099,0.027377600000000002,1.653205,0.22204230999999996,0.042638499999999996,1.680707,0.17310980999999998,0.07996960000000003,1.677975,0.22000261,0.08238380000000001,1.6499,0.08209611000000001,0.17571150000000002,1.643071,0.19932791,-0.072805,1.492382,0.11539901000000001,0.2881376,1.457368,0.06797351,-0.11863607999999999,1.170352,0.20948540999999998,0.3456117,1.123534,0.08721041,-0.028918899999999997,1.066038,0.41731031,0.2818161,0.9335041,0.23533520999999996,-0.07927659999999999,0.9293954,0.02865331,0.07927650000000003,0.908536,-0.028653369999999997,-0.15564783999999998,0.5074232,0.19901731,0.10656520000000003,0.4538918,-0.102617171,-0.21779367,0.254703,-0.088939887,-0.0029537999999999787,0.2582252,-0.41942809000000003,-0.24609005,0.05103528,-0.008953249999999996,0.06502370000000002,0.107893,-0.40707239,0.02188610000000002,1.036211,0.017877210000000004,0.037549,1.139815,0.021335809999999997,0.05748250000000002,1.255001,0.027560509999999996,0.0841323,1.373859,0.05255311,0.0942306,1.02232,0.50061011,0.02057240000000002,1.044465,0.51682671,-0.0098385,0.9867944,0.47801261,0.161821,0.8726941,0.31227591,0.2394055,0.877339,0.32402291,0.2555851,0.8386702,0.26077561,-0.20734196,0.071226,-0.0337173,-0.2866739,0.09462398,-0.04038571,0.015688800000000003,0.1166583,-0.41047169,0.0734938,0.1465043,-0.46159189
